"","Player","Season","Season.Type","Position","Team","GP","TOI","CF","CA","CF60","CA60","CF%","CSh%","CSv%","FF","FA","FF60","FA60","FF%","FSh%","FSv%","SF","SA","SF60","SA60","SF%","Sh%","Sv%","xGF","xGA","xGF60","xGA60","xGF%","xFSh%","xFSv%","Adj.FSv%","SCF","SCA","SCF60","SCA60","SCF%","PDO","xPDO","GF","GA","GF60","GA60","GF%","FO%","PENDIFF"
"23","ADAM.LARSSON","20132014","Regular","D","N.J",26,396.37,348,279,52.68,42.23,55.5,2.87,95.34,263,213,39.81,32.24,55.25,3.8,93.9,190,154,28.76,23.31,55.23,5.26,91.56,14.59,12,2.21,1.82,54.85,5.55,94.36,-0.47,49,39,7.42,5.9,55.68,96.82,99.91,10,13,1.51,1.97,43.48,45.99,-11
"24","ADAM.LARSSON","20142015","Regular","D","N.J",64,1043.72,796,900,45.76,51.74,46.93,4.02,96.56,595,670,34.2,38.52,47.04,5.38,95.37,440,481,25.29,27.65,47.77,7.27,93.56,36.82,37.5,2.12,2.16,49.54,6.19,94.4,0.97,119,123,6.84,7.07,49.17,100.83,100.59,32,31,1.84,1.78,50.79,45.68,-1
"25","ADAM.LARSSON","20152016","Regular","D","N.J",82,1434.41,943,1172,39.44,49.02,44.59,4.35,97.18,726,848,30.37,35.47,46.12,5.65,96.11,532,619,22.25,25.89,46.22,7.71,94.67,45.95,49.13,1.92,2.05,48.33,6.33,94.21,1.9,155,164,6.48,6.86,48.59,102.38,100.54,41,33,1.71,1.38,55.41,47.28,-16
"26","ADAM.LARSSON","20162017","Regular","D","EDM",79,1376.38,1309,1308,57.06,57.02,50.02,5.42,95.72,1000,958,43.59,41.76,51.07,7.1,94.15,729,683,31.78,29.77,51.63,9.74,91.8,62.39,61.44,2.72,2.68,50.39,6.24,93.59,0.57,221,203,9.63,8.85,52.12,101.54,99.83,71,56,3.1,2.44,55.91,46.74,-5
"27","ADAM.LOWRY","20142015","Regular","L","WPG",80,969.95,906,758,56.04,46.89,54.45,3.53,95.78,648,571,40.08,35.32,53.16,4.94,94.4,452,408,27.96,25.24,52.56,7.08,92.16,38.43,37.4,2.38,2.31,50.68,5.93,93.45,0.95,134,129,8.29,7.98,50.95,99.24,99.38,32,32,1.98,1.98,50,46.98,-15
"28","ADAM.LOWRY","20152016","Regular","L","WPG",74,835.99,684,778,49.09,55.84,46.79,3.51,95.63,508,569,36.46,40.84,47.17,4.72,94.02,381,408,27.34,29.28,48.29,6.3,91.67,32.27,34.88,2.32,2.5,48.06,6.35,93.87,0.15,118,123,8.47,8.83,48.96,97.97,100.22,24,34,1.72,2.44,41.38,47.13,-17
"29","ADAM.LOWRY","20162017","Regular","L","WPG",81,933.78,807,867,51.85,55.71,48.21,3.97,96.08,609,644,39.13,41.38,48.6,5.25,94.72,446,481,28.66,30.91,48.11,7.17,92.93,38.36,36.53,2.47,2.35,51.22,6.3,94.33,0.39,131,115,8.42,7.39,53.25,100.11,100.63,32,34,2.06,2.18,48.48,50.95,0
"30","ADAM.MCQUAID","20132014","Regular","D","BOS",30,407.79,365,359,53.7,52.82,50.41,5.48,97.21,269,254,39.58,37.37,51.43,7.43,96.06,189,185,27.81,27.22,50.53,10.58,94.59,14.56,11.81,2.14,1.74,55.22,5.41,95.35,0.71,42,37,6.18,5.44,53.16,105.18,100.76,20,10,2.94,1.47,66.67,50.11,-9
"31","ADAM.MCQUAID","20142015","Regular","D","BOS",63,991.97,863,879,52.2,53.17,49.54,3.01,96.47,630,644,38.11,38.95,49.45,4.13,95.19,453,469,27.4,28.37,49.13,5.74,93.39,33.72,34.02,2.04,2.06,49.78,5.35,94.72,0.47,101,94,6.11,5.69,51.79,99.13,100.07,26,31,1.57,1.88,45.61,50.95,-12
"32","ADAM.MCQUAID","20152016","Regular","D","BOS",64,951.08,862,902,54.38,56.9,48.87,3.48,96.67,637,654,40.19,41.26,49.34,4.71,95.41,476,475,30.03,29.97,50.05,6.3,93.68,33.28,36.1,2.1,2.28,47.97,5.22,94.48,0.93,108,116,6.81,7.32,48.21,99.99,99.71,30,30,1.89,1.89,50,52.69,-23
"33","ADAM.MCQUAID","20162017","Regular","D","BOS",77,1164.53,1188,1002,61.21,51.63,54.25,3.28,95.41,868,736,44.72,37.92,54.11,4.49,93.75,617,525,31.79,27.05,54.03,6.32,91.24,45.69,42.1,2.35,2.17,52.04,5.26,94.28,-0.53,125,136,6.44,7.01,47.89,97.56,99.54,39,46,2.01,2.37,45.88,54.32,-17
"34","ADAM.PARDY","20132014","Regular","D","WPG",60,783.78,733,632,56.11,48.38,53.7,4.09,95.89,549,463,42.03,35.44,54.25,5.46,94.38,394,333,30.16,25.49,54.2,7.61,92.19,35.03,28.27,2.68,2.16,55.34,6.38,93.89,0.49,127,101,9.72,7.73,55.7,99.81,100.27,30,26,2.3,1.99,53.57,46.18,-2
"35","ADAM.PARDY","20142015","Regular","D","WPG",55,663.75,576,546,52.07,49.36,51.34,4.51,96.15,417,418,37.69,37.79,49.94,6.24,94.98,312,297,28.2,26.85,51.23,8.33,92.93,26.87,28.4,2.43,2.57,48.61,6.44,93.21,1.77,91,101,8.23,9.13,47.4,101.26,99.65,26,21,2.35,1.9,55.32,53.59,16
"36","ADAM.PARDY","20152016","Regular","D","EDM/WPG",23,302.02,274,288,54.43,57.21,48.75,2.55,94.44,208,220,41.32,43.71,48.6,3.37,92.73,151,154,30,30.59,49.51,4.64,89.61,15.27,13.13,3.03,2.61,53.77,7.34,94.03,-1.3,58,44,11.52,8.74,56.86,94.25,101.37,7,16,1.39,3.18,30.43,42.8,-4
"37","ADAM.PELECH","20152016","Regular","D","NYI",9,125.48,91,124,43.51,59.29,42.33,3.3,94.35,66,89,31.56,42.56,42.58,4.55,92.13,45,67,21.52,32.04,40.18,6.67,89.55,3.61,5.58,1.73,2.67,39.3,5.48,93.73,-1.59,13,23,6.22,11,36.11,96.22,99.2,3,7,1.43,3.35,30,54.29,-5
"38","ADAM.PELECH","20162017","Regular","D","NYI",44,675.9,567,645,50.33,57.26,46.78,4.59,95.19,405,493,35.95,43.76,45.1,6.42,93.71,306,352,27.16,31.25,46.5,8.5,91.19,21.56,31.33,1.91,2.78,40.76,5.32,93.64,0.07,60,105,5.33,9.32,36.36,99.69,98.97,26,31,2.31,2.75,45.61,45.28,2
"39","ADRIAN.KEMPE","20162017","Regular","L","L.A",25,262.55,263,193,60.1,44.11,57.68,1.52,97.41,186,144,42.51,32.91,56.36,2.15,96.53,128,95,29.25,21.71,57.4,3.12,94.74,10.66,9.07,2.44,2.07,54.02,5.73,93.7,2.83,41,36,9.37,8.23,53.25,97.86,99.43,4,5,0.91,1.14,44.44,46.64,8
"40","AJ.GREER","20162017","Regular","L","COL",5,63.26,60,56,56.91,53.11,51.72,1.67,94.64,47,37,44.58,35.09,55.95,2.13,91.89,33,31,31.3,29.4,51.56,3.03,90.32,3.04,1.42,2.89,1.35,68.14,6.48,96.15,-4.26,12,4,11.38,3.79,75,93.35,102.63,1,3,0.95,2.85,25,54.12,3
"41","ALAN.QUINE","20162017","Regular","C","NYI",61,655.36,621,736,56.85,67.38,45.76,5.31,95.65,462,539,42.3,49.35,46.15,7.14,94.06,347,390,31.77,35.71,47.08,9.51,91.79,25.26,32.55,2.31,2.98,43.69,5.47,93.96,0.1,82,100,7.51,9.16,45.05,101.3,99.43,33,32,3.02,2.93,50.77,47.96,-9
"42","ALEC.MARTINEZ","20132014","Regular","D","L.A",61,772.12,763,592,59.29,46,56.31,4.19,96.96,559,434,43.44,33.73,56.29,5.72,95.85,371,293,28.83,22.77,55.87,8.63,93.86,32.09,24.74,2.49,1.92,56.47,5.74,94.3,1.55,108,83,8.39,6.45,56.54,102.48,100.04,32,18,2.49,1.4,64,55.43,23
"43","ALEC.MARTINEZ","20142015","Regular","D","L.A",56,848.9,839,744,59.3,52.59,53,4.65,96.24,617,552,43.61,39.02,52.78,6.32,94.93,409,397,28.91,28.06,50.74,9.54,92.95,36.79,32.48,2.6,2.3,53.11,5.96,94.12,0.81,135,114,9.54,8.06,54.22,102.48,100.08,39,28,2.76,1.98,58.21,54.61,-8
"44","ALEC.MARTINEZ","20152016","Regular","D","L.A",78,1222.53,1273,1136,62.48,55.75,52.84,3.38,97.01,926,813,45.45,39.9,53.25,4.64,95.82,615,564,30.18,27.68,52.16,6.99,93.97,53.03,45.11,2.6,2.21,54.04,5.73,94.45,1.37,178,135,8.74,6.63,56.87,100.96,100.18,43,34,2.11,1.67,55.84,52.16,-12
