"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"VAN",2017-11-21,1,60,52.97,63.62,-10.65,45.43,52.97,63.62,2.83,1.85,0.99,60.54,2.83,1.85,2.84,1.97,0.88,59.14,2.84,1.97,2,3,1,7.59,94.32,101.91
"VAN",2017-11-22,1,60,55.62,57.82,-2.19,49.03,55.62,57.82,2.71,0.72,1.99,78.96,2.71,0.72,3.34,3.8,-0.46,46.77,3.34,3.8,5,3,-2,6.8,98.13,104.93
"VAN",2017-11-24,1,60,39.69,40.19,-0.5,49.69,39.69,40.19,1.12,2.05,-0.93,35.33,1.12,2.05,1.39,2.87,-1.48,32.62,1.39,2.87,3,3,0,5.3,91.88,97.18
"VAN",2017-11-26,1,65,53.72,41.25,12.48,56.57,49.59,38.07,2.91,2.73,0.18,51.56,2.68,2.52,2.25,1.51,0.74,59.77,2.08,1.4,2,1,-1,10.43,85.16,95.59
"VAN",2017-11-28,1,60,48.24,60.84,-12.6,44.23,48.24,60.84,2.85,6.81,-3.96,29.53,2.85,6.81,2.48,3.4,-0.92,42.14,2.48,3.4,3,2,-1,11.37,82.62,93.99
"VGK",2017-10-06,1,60,44.02,62.48,-18.46,41.34,44.02,62.48,1.3,0.35,0.95,78.75,1.3,0.35,2,3.11,-1.12,39.08,2,3.11,5,8,3,5.88,99.12,104.99
"VGK",2017-10-07,1,62.67,62.34,50.9,11.44,55.05,59.69,48.73,0.39,0.88,-0.49,30.97,0.38,0.84,2.54,2.43,0.11,51.13,2.43,2.32,3,4,1,1.13,96.16,97.29
"VGK",2017-10-10,1,60,48.65,45.18,3.47,51.85,48.65,45.18,4.34,1.6,2.74,73.09,4.34,1.6,1.53,2.07,-0.55,42.42,1.53,2.07,3,3,0,16.19,93.99,110.18
"VGK",2017-10-13,1,60,47.68,41.62,6.05,53.39,47.68,41.62,3.18,5.33,-2.15,37.36,3.18,5.33,2.32,2.13,0.19,52.14,2.32,2.13,3,5,2,12.62,78.13,90.76
"VGK",2017-10-15,1,60,48.11,38,10.12,55.87,48.11,38,1.96,0.43,1.53,82.14,1.96,0.43,1.73,0.88,0.85,66.2,1.73,0.88,3,5,2,7.71,97.73,105.43
