"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2017-03-10,1,60,41.61,46.23,-4.61,47.37,41.61,46.23,2.15,4.5,-2.35,32.32,2.15,4.5,1.66,2.59,-0.93,39.1,1.66,2.59,3,2,-1,9.94,84.92,94.85
"ANA",2017-03-12,1,60,53.58,59.54,-5.96,47.37,53.58,59.54,3.95,1.41,2.55,73.77,3.95,1.41,2.38,2.72,-0.34,46.65,2.38,2.72,5,7,2,15.51,93.85,109.36
"ANA",2017-03-15,1,60,46.15,51.87,-5.73,47.08,46.15,51.87,3.51,0.79,2.72,81.68,3.51,0.79,2.01,2.16,-0.15,48.16,2.01,2.16,3,5,2,15.53,96.84,112.37
"ANA",2017-03-17,1,65,69.05,51.54,17.51,57.26,63.74,47.57,1.18,1.02,0.16,53.72,1.09,0.94,4.13,2.12,2.01,66.07,3.81,1.96,2,1,-1,3.18,95.96,99.14
"ANA",2017-03-18,1,60,44.21,59.68,-15.47,42.55,44.21,59.68,1.97,0.14,1.83,93.33,1.97,0.14,2.26,2.62,-0.37,46.25,2.26,2.62,5,4,-1,8.79,99.51,108.31
"ANA",2017-03-22,1,60,50.79,47.48,3.31,51.68,50.79,47.48,3.99,2.39,1.59,62.49,3.99,2.39,3.21,2.9,0.31,52.54,3.21,2.9,6,6,0,14.9,91.61,106.51
"ANA",2017-03-24,1,60,70.46,31.23,39.23,69.29,70.46,31.23,2.07,0.33,1.74,86.27,2.07,0.33,3.3,1.31,1.99,71.56,3.3,1.31,3,3,0,6.54,97.82,104.35
"ANA",2017-03-26,1,60,57,49.54,7.46,53.5,57,49.54,6,3.09,2.9,65.97,6,3.09,3.58,1.87,1.71,65.69,3.58,1.87,3,4,1,17.24,87.44,104.68
"ANA",2017-03-28,1,60,53.01,38.68,14.33,57.82,53.01,38.68,3.93,1.14,2.78,77.43,3.93,1.14,2.16,1.32,0.83,62,2.16,1.32,2,4,2,11.75,96.21,107.97
"ANA",2017-03-30,1,63.57,39.76,62.65,-22.89,38.82,37.53,59.14,2.43,4.42,-1.99,35.47,2.29,4.17,1.43,3,-1.56,32.33,1.35,2.83,7,5,-2,9.02,87.59,96.61
"ANA",2017-04-01,1,61.43,32.72,61.61,-28.88,34.69,31.96,60.17,0.64,1.68,-1.04,27.68,0.63,1.64,2.08,2.98,-0.9,41.07,2.03,2.91,4,2,-2,4.24,94.38,98.62
"ANA",2017-04-02,1,60,47.13,39.02,8.11,54.7,47.13,39.02,2.79,1.54,1.25,64.48,2.79,1.54,2.25,0.99,1.26,69.5,2.25,0.99,5,4,-1,8.8,90.83,99.63
"ANA",2017-04-04,1,60,49.23,52,-2.77,48.63,49.23,52,2.51,1.01,1.51,71.41,2.51,1.01,2.23,2.47,-0.24,47.43,2.23,2.47,11,14,3,12.72,95.81,108.53
"ANA",2017-04-06,1,60,47.36,54.21,-6.85,46.63,47.36,54.21,3.15,0,3.15,100,3.15,0,2.25,3.41,-1.16,39.74,2.25,3.41,3,5,2,13.33,100,113.33
"ANA",2017-04-09,1,60.88,53.63,44.11,9.52,54.87,52.86,43.47,2.83,2.11,0.72,57.33,2.79,2.08,2.88,1.7,1.18,62.89,2.84,1.68,5,5,0,12.53,85.57,98.1
"ARI",2016-10-15,1,63.2,50.89,48.33,2.55,51.29,48.31,45.88,4.61,2.61,2,63.88,4.38,2.47,3.61,1.95,1.66,64.91,3.43,1.85,4,9,5,14.55,89.31,103.86
"ARI",2016-10-18,1,60,57.79,64.6,-6.81,47.22,57.79,64.6,3.52,7.21,-3.69,32.81,3.52,7.21,2.99,3.91,-0.92,43.32,2.99,3.91,4,7,3,11.84,83.28,95.12
"ARI",2016-10-20,1,60,53.23,73.44,-20.22,42.02,53.23,73.44,3.56,3.97,-0.4,47.32,3.56,3.97,2.62,3.74,-1.12,41.21,2.62,3.74,5,3,-2,13.07,90.8,103.87
"ARI",2016-10-21,1,60,41.06,65.85,-24.79,38.41,41.06,65.85,2.28,4.33,-2.05,34.48,2.28,4.33,1.25,3.59,-2.34,25.79,1.25,3.59,4,5,1,11.65,87.84,99.5
"ARI",2016-10-23,1,60,56.77,42.91,13.85,56.95,56.77,42.91,2.16,2.33,-0.17,48.09,2.16,2.33,1.73,3.01,-1.28,36.51,1.73,3.01,2,1,-1,8.41,89.58,97.99
"ARI",2016-10-25,1,60,36.73,43.94,-7.2,45.54,36.73,43.94,2.27,3,-0.73,43.04,2.27,3,2.07,1.87,0.2,52.54,2.07,1.87,3,3,0,8.7,90.44,99.14
"ARI",2016-10-27,1,60,53.51,63.32,-9.81,45.8,53.51,63.32,5.92,2.91,3.01,67.02,5.92,2.91,4.54,3.33,1.2,57.65,4.54,3.33,10,4,-6,18.23,88.52,106.74
"ARI",2016-10-29,1,60,41.14,54.78,-13.64,42.89,41.14,54.78,2.45,1.91,0.53,56.12,2.45,1.91,1.41,2.02,-0.61,41.07,1.41,2.02,3,4,1,9.85,93.85,103.7
"ARI",2016-11-01,1,60,62.07,59.69,2.39,50.98,62.07,59.69,3,1.51,1.49,66.54,3,1.51,2.48,2.73,-0.25,47.6,2.48,2.73,3,3,0,9.74,95.1,104.84
"ARI",2016-11-03,1,65,40.77,50.73,-9.96,44.56,37.63,46.83,2.08,1.16,0.92,64.24,1.92,1.07,1.27,1.58,-0.31,44.48,1.17,1.46,7,3,-4,8.17,95.68,103.85
