"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"MATTHEW.MURRAY","2015-2016","PIT",6,369.02,179,14,92.18,91.65,0.53,98.55,92.54,81.4,0.94
"MATTHEW.MURRAY","2016-2017","PIT",24,1365.51,754,57,92.44,90.75,1.69,98.92,94.91,80.1,12.74
"MATTHEW.MURRAY","2017-2018","PIT",14,789.33,431,36,91.65,90.53,1.12,98.01,95.09,78.63,4.82
"MAXIME.LAGACE","2017-2018","VGK",3,159.65,81,8,90.12,92.36,-2.23,95.65,90,75,-1.81
"MICHAEL.HUTCHINSON","2013-2014","WPG",2,123.03,50,2,96,89.06,6.94,100,100,87.5,3.47
"MICHAEL.HUTCHINSON","2014-2015","WPG",19,1060.44,468,37,92.09,90.63,1.46,97.08,93.37,82.76,6.85
"MICHAEL.HUTCHINSON","2015-2016","WPG",9,477.26,240,21,91.25,89.9,1.35,100,95.56,75,3.23
"MICHAEL.HUTCHINSON","2016-2017","WPG",13,550.35,270,29,89.26,90.94,-1.69,96.84,94.78,66.67,-4.55
"MICHAEL.LEIGHTON","2008-2009","CAR",9,463.59,221,23,89.59,90.82,-1.23,100,90.38,71.11,-2.72
"MICHAEL.LEIGHTON","2009-2010","CAR/PHI",12,651.35,330,27,91.82,91.12,0.69,98.33,92.52,77.78,2.29
"MICHAEL.LEIGHTON","2015-2016","CHI",1,39.48,17,1,94.12,86.71,7.41,87.5,100,100,1.26
"MICHAEL.LEIGHTON","2016-2017","CAR",2,94.59,49,5,89.8,91.37,-1.57,94.74,100,63.64,-0.77
"MICHAL.NEUVIRTH","2008-2009","WSH",4,160.02,70,10,85.71,91.96,-6.24,95.45,86.84,60,-4.37
"MICHAL.NEUVIRTH","2009-2010","WSH",8,478.14,254,14,94.49,92.28,2.2,100,93.65,84.21,5.6
"MICHAL.NEUVIRTH","2010-2011","WSH",23,1350.39,648,59,90.9,91.72,-0.83,96.75,91.25,76.19,-5.36
"MICHAL.NEUVIRTH","2011-2012","WSH",17,940.16,452,41,90.93,91.88,-0.95,98.44,92.35,72.22,-4.28
"MICHAL.NEUVIRTH","2012-2013","WSH",6,327.75,149,14,90.6,89.96,0.64,96.49,100,72.73,0.96
"MICHAL.NEUVIRTH","2013-2014","WSH",7,413.58,212,19,91.04,91.37,-0.33,97.53,92.05,76.74,-0.71
"MICHAL.NEUVIRTH","2014-2015","BUF/NYI",16,920.97,531,39,92.66,92.03,0.62,99.11,93.6,76.7,3.3
"MICHAL.NEUVIRTH","2015-2016","PHI",14,830.39,416,30,92.79,90.65,2.13,99.42,95.86,76.77,8.88
"MICHAL.NEUVIRTH","2016-2017","PHI",14,648.14,275,24,91.27,91.93,-0.66,97.3,93.46,75.44,-1.81
"MICHAL.NEUVIRTH","2017-2018","PHI",6,295.17,159,14,91.19,90.72,0.47,95.95,96.15,72.73,0.75
"MIIKKA.KIPRUSOFF","2007-2008","CGY",41,2456.87,1119,96,91.42,91.85,-0.43,98.07,91.6,76.88,-4.82
"MIIKKA.KIPRUSOFF","2008-2009","CGY",39,2328.33,1064,99,90.7,91.64,-0.95,98.12,91.6,73.96,-10.09
"MIIKKA.KIPRUSOFF","2009-2010","CGY",38,2224.86,1017,80,92.13,91.91,0.23,97.32,92.52,79.14,2.31
"MIIKKA.KIPRUSOFF","2010-2011","CGY",37,2231.53,1011,92,90.9,92.4,-1.5,97.21,90.72,72.73,-15.17
"MIIKKA.KIPRUSOFF","2011-2012","CGY",39,2318.82,1152,90,92.19,91.51,0.68,97.83,92.82,79.25,7.8
"MIIKKA.KIPRUSOFF","2012-2013","CGY",13,762.88,362,39,89.23,91.15,-1.92,96.77,90.48,72.84,-6.96
"MIKAEL.TELLQVIST","2007-2008","ARI",11,621.99,291,34,88.32,91.75,-3.43,96.33,91.2,66.67,-9.99
"MIKAEL.TELLQVIST","2008-2009","ARI/BUF",15,755.88,381,32,91.6,92.27,-0.67,98.14,92.9,72.31,-2.54
"MIKE.BRODEUR","2009-2010","OTT",1,60,23,1,95.65,93.52,2.13,100,90,100,0.49
"MIKE.BRODEUR","2010-2011","OTT",2,69.38,29,6,79.31,90.24,-10.93,87.5,78.57,71.43,-3.17
"MIKE.CONDON","2015-2016","MTL",30,1727.12,778,73,90.62,91.78,-1.16,98.34,89.6,75.3,-9.01
"MIKE.CONDON","2016-2017","OTT",20,1219.92,589,45,92.36,92,0.36,96.23,93.55,80.37,2.14
"MIKE.CONDON","2017-2018","OTT",6,296.67,154,19,87.66,90.27,-2.6,96.88,88.89,69.44,-4.01
"MIKE.MCKENNA","2008-2009","T.B",7,352.15,167,18,89.22,92.57,-3.35,94.23,89.36,76.19,-5.6
"MIKE.MCKENNA","2010-2011","N.J",1,58.36,29,3,89.66,90.28,-0.62,100,93.33,50,-0.18
"MIKE.MCKENNA","2013-2014","CBJ",2,119.04,63,7,88.89,93.37,-4.48,100,85,66.67,-2.82
"MIKE.SMITH","2007-2008","DAL/T.B",16,880.72,352,28,92.05,92.43,-0.38,97.54,90.37,83.72,-1.34
"MIKE.SMITH","2008-2009","T.B",21,1277.83,671,53,92.1,92.35,-0.25,97.64,92.64,74.73,-1.67
"MIKE.SMITH","2009-2010","T.B",19,984.17,493,40,91.89,91.73,0.16,98.8,92.21,76.83,0.78
"MIKE.SMITH","2010-2011","T.B",7,376.98,154,16,89.61,93.85,-4.24,98.57,88.57,50,-6.53
"MIKE.SMITH","2011-2012","ARI",35,2062.52,1099,72,93.45,92.24,1.2,98.75,92.41,83.93,13.24
"MIKE.SMITH","2012-2013","ARI",17,920.05,418,43,89.71,92.47,-2.76,96.32,89.04,75.61,-11.52
"MIKE.SMITH","2013-2014","ARI",32,1845.82,905,76,91.6,92.44,-0.83,97.83,89.78,80.34,-7.54
"MIKE.SMITH","2014-2015","ARI",32,1865.63,1012,94,90.71,91.84,-1.12,98.06,92.12,75.32,-11.38
"MIKE.SMITH","2015-2016","ARI",13,660.21,344,24,93.02,92.97,0.05,98.58,92.41,81.03,0.17
"MIKE.SMITH","2016-2017","ARI",30,1765.71,1000,83,91.7,91.75,-0.05,98.08,93.94,76.02,-0.47
"MIKE.SMITH","2017-2018","CGY",22,1240.92,626,61,90.26,91.31,-1.06,96.32,91.52,75.38,-6.63
"MIKKO.KOSKINEN","2010-2011","NYI",2,118.58,64,8,87.5,88.94,-1.44,94.12,88.46,80.95,-0.92
"NATHAN.LAWSON","2010-2011","NYI",3,117.92,72,12,83.33,87.01,-3.68,94.74,96.3,61.54,-2.65
"NATHAN.LAWSON","2013-2014","OTT",1,11.87,10,2,80,90.9,-10.9,100,100,0,-1.09
"NATHAN.LIEUWEN","2013-2014","BUF",2,86.7,45,2,95.56,90.91,4.64,100,92.31,90,2.09
"NIKLAS.BACKSTROM","2007-2008","MIN",31,1841.13,844,62,92.65,92.47,0.19,97.95,93.73,70.87,1.58
"NIKLAS.BACKSTROM","2008-2009","MIN",39,2302.13,1084,86,92.07,93.16,-1.09,98.18,90.99,71.54,-11.86
"NIKLAS.BACKSTROM","2009-2010","MIN",35,2041.26,879,95,89.19,93.18,-3.99,96.49,87.23,68.27,-35.04
"NIKLAS.BACKSTROM","2010-2011","MIN",32,1908.82,920,78,91.52,92.49,-0.97,97.35,91.4,75.74,-8.89
"NIKLAS.BACKSTROM","2011-2012","MIN",22,1247.57,568,55,90.32,92.62,-2.3,99.28,90.05,65.31,-13.07
"NIKLAS.BACKSTROM","2012-2013","MIN",22,1253.4,531,47,91.15,92.66,-1.51,98.87,89.77,70.79,-8.03
