"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"STEVE.MASON","2016-2017","PHI",28,1547.85,735,74,89.93,91.08,-1.15,97.94,93.13,72.53,-8.46
"STEVE.MASON","2017-2018","WPG",8,401.28,228,19,91.67,90.04,1.62,97.83,93.83,78.18,3.7
"STEVE.VALIQUETTE","2009-2010","NYR",2,87.55,42,9,78.57,90.31,-11.74,85.71,77.78,70,-4.93
"THOMAS.GREISS","2007-2008","S.J",3,128.82,50,7,86,90.38,-4.38,92.86,87.5,75,-2.19
"THOMAS.GREISS","2009-2010","S.J",8,381.61,208,16,92.31,90.59,1.72,100,93.27,80.85,3.58
"THOMAS.GREISS","2011-2012","S.J",10,569.52,271,21,92.25,92.46,-0.21,95.38,93.33,82.35,-0.58
"THOMAS.GREISS","2012-2013","S.J",5,248.19,129,13,89.92,90.92,-1,92,91.3,84.85,-1.29
"THOMAS.GREISS","2013-2014","ARI",14,713.68,357,32,91.04,91.23,-0.2,96.18,89.86,84.62,-0.7
"THOMAS.GREISS","2014-2015","PIT",13,790.06,381,36,90.55,91.59,-1.04,97.33,91.33,76.54,-3.96
"THOMAS.GREISS","2015-2016","NYI",18,1011.6,566,43,92.4,91.5,0.91,97.21,93.15,83.33,5.13
"THOMAS.GREISS","2016-2017","NYI",28,1506.62,807,70,91.33,91.37,-0.05,97.58,90.44,81.52,-0.38
"THOMAS.GREISS","2017-2018","NYI",10,531.35,318,38,88.05,90.43,-2.38,97.25,89.8,67.74,-7.57
"TIMO.PIELMEIER","2010-2011","ANA",1,40,12,5,58.33,85.17,-26.83,100,66.67,25,-3.22
"TIM.THOMAS","2008-2009","BOS",27,1643.21,846,52,93.85,91.3,2.55,98.6,95.26,81.76,21.6
"TIM.THOMAS","2009-2010","BOS",21,1195.58,625,54,91.36,91.99,-0.63,97.35,90.51,80.77,-3.92
"TIM.THOMAS","2010-2011","BOS",28,1645.54,931,59,93.66,91.44,2.22,98.84,94.39,81.71,20.67
"TIM.THOMAS","2011-2012","BOS",32,1746.97,911,73,91.99,92.2,-0.21,97.18,92.26,79.65,-1.91
"TIM.THOMAS","2013-2014","FLA/DAL",27,1459.33,767,77,89.96,90.77,-0.81,98.98,90.14,75,-6.19
"TOBIAS.STEPHAN","2007-2008","DAL",1,60.65,40,2,95,90.67,4.33,100,96.67,83.33,1.73
"TOBIAS.STEPHAN","2008-2009","DAL",7,297.96,153,20,86.93,90.69,-3.76,94.29,90.91,66.67,-5.76
"TOMAS.VOKOUN","2007-2008","FLA",30,1767.94,998,84,91.58,90.84,0.74,97.7,93.25,78.43,7.41
"TOMAS.VOKOUN","2008-2009","FLA",23,1337.69,765,65,91.5,91.13,0.37,99.16,92.72,77.07,2.83
"TOMAS.VOKOUN","2009-2010","FLA",30,1746.73,968,71,92.67,91.21,1.46,98.73,92.7,82.35,14.13
"TOMAS.VOKOUN","2010-2011","FLA",27,1570.81,881,65,92.62,91.45,1.17,98.41,92.56,82.39,10.31
"TOMAS.VOKOUN","2011-2012","WSH",25,1208.07,640,61,90.47,91.81,-1.34,96.92,94.71,70.71,-8.57
"TOMAS.VOKOUN","2012-2013","PIT",11,608.08,321,27,91.59,91.22,0.36,97.62,92.56,79.73,1.17
"TOM.MCCOLLUM","2014-2015","DET",1,20,17,0,100,89.12,10.88,100,100,100,1.85
"TRISTAN.JARRY","2016-2017","PIT",1,58.75,25,3,88,90.28,-2.28,90,87.5,85.71,-0.57
"TRISTAN.JARRY","2017-2018","PIT",5,279.9,146,9,93.84,92.47,1.37,100,89.36,84,2
"TROY.GROSENICK","2014-2015","S.J",2,118.38,58,3,94.83,92.07,2.76,100,88.89,90,1.6
"TUUKKA.RASK","2007-2008","BOS",3,124.43,58,6,89.66,91.21,-1.55,93.75,84.38,100,-0.9
"TUUKKA.RASK","2009-2010","BOS",23,1309.92,647,40,93.82,91.79,2.02,97.93,96.03,77.67,13.1
"TUUKKA.RASK","2010-2011","BOS",16,837.56,441,38,91.38,91.48,-0.1,96.88,91.5,80.25,-0.43
"TUUKKA.RASK","2011-2012","BOS",9,466.92,218,20,90.83,91.66,-0.83,94.51,90.36,84.09,-1.81
"TUUKKA.RASK","2012-2013","BOS",17,942.61,436,33,92.43,91.39,1.04,99.48,90.13,81.72,4.53
"TUUKKA.RASK","2013-2014","BOS",26,1480.89,741,62,91.63,92.38,-0.75,97.52,91.07,79.14,-5.56
"TUUKKA.RASK","2014-2015","BOS",34,1933.36,989,85,91.41,92.03,-0.62,98.19,91.78,74.32,-6.14
"TUUKKA.RASK","2015-2016","BOS",31,1745.18,905,69,92.38,91.03,1.34,98.85,94.77,78.04,12.14
"TUUKKA.RASK","2016-2017","BOS",32,1820.73,844,73,91.35,91.66,-0.31,98.21,88.93,79.65,-2.61
"TUUKKA.RASK","2017-2018","BOS",10,554.55,265,20,92.45,91.02,1.43,99.14,93.26,78.33,3.8
"TY.CONKLIN","2007-2008","PIT",17,919.01,518,47,90.93,91.5,-0.57,98.66,92.18,70.67,-2.97
"TY.CONKLIN","2008-2009","DET",20,1077.56,501,50,90.02,91.56,-1.54,98.21,88.49,77.78,-7.73
"TY.CONKLIN","2009-2010","STL",19,1040.65,545,31,94.31,91.61,2.7,95.93,94.53,90.91,14.73
"TY.CONKLIN","2010-2011","STL",17,934.49,429,49,88.58,91.44,-2.86,95.65,92.86,65.43,-12.26
"TY.CONKLIN","2011-2012","DET",13,684.61,328,38,88.41,90.44,-2.02,99.12,93.13,66.67,-6.64
"TYLER.BUNZ","2014-2015","EDM",1,20,12,3,75,87.58,-12.58,75,75,75,-1.51
"TYLER.WEIMAN","2007-2008","COL",1,15.76,10,0,100,88,12,100,100,100,1.2
"VESA.TOSKALA","2007-2008","TOR",33,1885.77,897,73,91.86,91.09,0.77,97.18,93.58,79.1,6.94
"VESA.TOSKALA","2008-2009","TOR",27,1512.79,777,88,88.67,90.71,-2.03,95.92,90.81,73.99,-15.81
"VESA.TOSKALA","2009-2010","TOR/CGY",20,912.41,431,60,86.08,90.97,-4.89,93.79,88.27,68.89,-21.09
"VIKTOR.FASTH","2012-2013","ANA",11,656.19,295,22,92.54,91.74,0.81,96.55,92.17,85.94,2.38
"VIKTOR.FASTH","2013-2014","ANA/EDM",7,434.06,176,20,88.64,91.27,-2.63,98.39,91.55,69.77,-4.63
"VIKTOR.FASTH","2014-2015","EDM",18,932.25,488,54,88.93,90.98,-2.05,96.32,85.8,81.97,-9.98
"WADE.DUBIELEWICZ","2007-2008","NYI",8,488.45,300,27,91,90.72,0.28,90.59,96.73,77.42,0.84
"WADE.DUBIELEWICZ","2008-2009","CBJ",2,119.43,54,6,88.89,91.41,-2.52,95,87.5,80,-1.36
"WADE.DUBIELEWICZ","2009-2010","MIN",3,100.51,34,5,85.29,92.44,-7.15,90.91,84.21,75,-2.43
"YANN.DANIS","2008-2009","NYI",11,595.17,295,34,88.47,91.31,-2.84,97.8,89.66,71.19,-8.37
"YANN.DANIS","2009-2010","N.J",10,378.32,176,14,92.05,91.08,0.97,98.41,93.33,78.95,1.7
"YANN.DANIS","2012-2013","EDM",2,70.25,45,7,84.44,88.98,-4.53,88.89,87.5,75,-2.04
"YANN.DANIS","2015-2016","N.J",2,50.5,18,4,77.78,87.17,-9.39,100,60,80,-1.69
"ZANE.MCINTYRE","2016-2017","BOS",5,254.46,114,17,85.09,89.75,-4.67,100,88.57,61.76,-5.32
