"","Player","Date","Team","Position","TOI","iCF","iFF","iSF","ixG","iSCF","iFOW","iFOL","iPENT","iPEND","iHF","iHA","iGVA","iTKA","iBLK","iCF60","iFF60","iSF60","ixG60","ixFSh%","iSCF60","iFO%","iPENDIFF"
"1256","PHILLIP.DANAULT","2017-04-16","MTL","L",12.17,5,5,3,0.61,3,7,5,0,0,3,0,0,2,0,24.65,24.65,14.79,3.03,12.29,14.79,0.58,0
"1257","PHILLIP.DANAULT","2017-04-14","MTL","L",17.51,5,4,3,0.14,0,10,8,0,0,2,4,0,0,2,17.13,13.71,10.28,0.49,3.59,0,0.56,0
"1258","PHILLIP.DANAULT","2017-04-12","MTL","L",12.67,0,0,0,0,0,8,7,1,0,4,3,0,0,2,0,0,0,0,NA,0,0.53,-1
"1259","P.K..SUBBAN","2017-04-26","NSH","D",19.47,1,1,1,0.02,0,0,0,1,0,1,1,2,0,2,3.08,3.08,3.08,0.05,1.64,0,NA,-1
"1260","P.K..SUBBAN","2017-04-20","NSH","D",19.68,3,2,1,0.1,0,0,0,0,0,3,0,0,1,0,9.15,6.1,3.05,0.31,5.06,0,NA,0
"1261","P.K..SUBBAN","2017-04-17","NSH","D",28.57,8,7,5,0.16,0,0,0,1,0,2,2,1,3,2,16.8,14.7,10.5,0.33,2.25,0,NA,-1
"1262","P.K..SUBBAN","2017-04-15","NSH","D",17.9,5,4,3,0.12,0,0,0,0,0,4,1,2,0,0,16.76,13.41,10.06,0.39,2.89,0,NA,0
"1263","P.K..SUBBAN","2017-04-13","NSH","D",16.93,2,2,1,0.03,0,0,0,0,0,3,1,0,1,2,7.09,7.09,3.54,0.1,1.37,0,NA,0
"1264","PONTUS.ABERG","2017-04-20","NSH","L",11.62,3,2,2,0.08,0,0,0,0,0,0,3,0,2,1,15.49,10.33,10.33,0.4,3.84,0,NA,0
"1265","PONTUS.ABERG","2017-04-17","NSH","L",14.11,5,4,3,0.14,0,0,0,0,0,1,0,1,0,0,21.26,17.01,12.76,0.61,3.57,0,NA,0
"1266","PONTUS.ABERG","2017-04-15","NSH","L",11.05,2,1,1,0.12,1,0,0,0,0,0,0,0,2,1,10.86,5.43,5.43,0.63,11.6,5.43,NA,0
"1267","PONTUS.ABERG","2017-04-13","NSH","L",11.66,1,0,0,0,0,0,0,0,0,1,1,0,0,1,5.15,0,0,0,NA,0,NA,0
"1268","RICHARD.PANIK","2017-04-20","CHI","R",15.14,3,3,2,0.16,1,0,0,1,0,2,2,0,0,0,11.89,11.89,7.93,0.62,5.21,3.96,NA,-1
"1269","RICHARD.PANIK","2017-04-17","CHI","R",17.08,2,1,1,0.05,0,0,0,0,0,1,2,1,0,2,7.03,3.51,3.51,0.18,5.11,0,NA,0
"1270","RICHARD.PANIK","2017-04-15","CHI","R",13.17,3,1,0,0.05,0,0,0,0,1,5,7,0,0,1,13.67,4.56,0,0.23,4.96,0,NA,1
"1271","RICHARD.PANIK","2017-04-13","CHI","R",12.91,3,3,3,0.22,1,0,0,0,0,7,4,1,0,0,13.94,13.94,13.94,1.04,7.46,4.65,NA,0
"1272","RICKARD.RAKELL","2017-04-26","ANA","R",13.71,3,2,1,0.06,0,0,0,0,1,3,0,0,1,0,13.13,8.75,4.38,0.28,3.17,0,NA,1
"1273","RICKARD.RAKELL","2017-04-19","ANA","R",11.93,2,2,2,0.05,0,0,0,0,0,0,0,0,0,0,10.06,10.06,10.06,0.24,2.34,0,NA,0
"1274","RICKARD.RAKELL","2017-04-17","ANA","R",16.58,1,1,0,0.02,0,0,1,0,0,4,2,0,0,0,3.62,3.62,0,0.06,1.66,0,0,0
"1275","RICKARD.RAKELL","2017-04-15","ANA","R",11.98,2,2,1,0.16,1,0,2,0,0,1,0,3,0,0,10.02,10.02,5.01,0.8,8.03,5.01,0,0
"1276","RICKARD.RAKELL","2017-04-13","ANA","R",11.85,2,2,2,0.31,1,0,0,0,0,4,3,0,0,0,10.13,10.13,10.13,1.55,15.26,5.06,NA,0
"1277","RICK.NASH","2017-04-27","NYR","L",11.96,5,3,3,0.05,0,0,0,0,0,1,2,0,0,1,25.08,15.05,15.05,0.24,1.62,0,NA,0
"1278","RICK.NASH","2017-04-22","NYR","L",14.34,6,4,3,0.26,1,0,0,0,0,0,1,1,0,0,25.1,16.74,12.55,1.07,6.41,4.18,NA,0
"1279","RICK.NASH","2017-04-20","NYR","L",15.5,6,4,4,0.22,2,0,0,0,0,0,2,0,0,0,23.23,15.48,15.48,0.85,5.46,7.74,NA,0
"1280","RICK.NASH","2017-04-18","NYR","L",13.84,7,4,2,0.62,2,0,0,0,0,2,2,0,0,0,30.35,17.34,8.67,2.67,15.39,8.67,NA,0
"1281","RICK.NASH","2017-04-16","NYR","L",12.07,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,NA,0,NA,0
"1282","RICK.NASH","2017-04-14","NYR","L",14.86,6,5,4,0.4,2,0,0,0,0,1,1,0,2,0,24.23,20.19,16.15,1.61,7.99,8.08,NA,0
"1283","RICK.NASH","2017-04-12","NYR","L",8.45,2,2,2,0.11,1,0,0,0,0,0,0,1,0,1,14.2,14.2,14.2,0.79,5.56,7.1,NA,0
"1284","RILEY.NASH","2017-04-23","BOS","C",10.68,1,1,1,0.06,0,4,2,0,0,1,3,0,1,2,5.62,5.62,5.62,0.34,6.09,0,0.67,0
"1285","RILEY.NASH","2017-04-19","BOS","C",11.93,2,1,1,0.03,0,3,2,0,0,1,1,0,1,1,10.06,5.03,5.03,0.14,2.86,0,0.6,0
